날짜,평균기온,최저기온,최고기온,평균상대습도,target
2018-01-01,-0.2,-4.3,4.7,50.6,17644.86
2018-01-02,-0.7,-4.2,2.9,61.9,26834.04
2018-01-03,-2.6,-5,1.2,46.3,28060.38
2018-01-04,-3.2,-6.2,-0.9,47.3,28473.3
2018-01-05,-1.2,-3.7,3.3,57.4,28055.88
2018-01-06,-0.8,-4.2,3.9,58.1,26185.32
2018-01-07,-1.6,-6.9,2,60.5,18244.98
2018-01-08,0.9,-0.9,2.2,79.6,26524.62
2018-01-09,-2.6,-4.5,-0.3,81.9,28085.94
2018-01-10,-5.5,-9.1,-2.1,66,27727.92
2018-01-11,-9.3,-11.1,-5.8,69.4,27326.88
2018-01-12,-9.5,-15.3,-5.9,55.4,27084.6
2018-01-13,-4.3,-7.8,-0.5,80.9,23590.8
2018-01-14,-2.1,-9.3,4.6,77.5,17406.18
2018-01-15,4,0.4,8.8,70.8,26840.7
2018-01-16,3.2,-0.1,6.4,81.3,28632.06
2018-01-17,3.9,1.9,5.6,89.8,29667.96
2018-01-18,3.5,0.9,6,72.5,29745.18
2018-01-19,1.1,-2,5.8,52.8,29579.04
2018-01-20,1.7,-3.8,7.3,64.5,25658.46
2018-01-21,0.6,-3.4,5.4,67.8,19132.56
2018-01-22,2.6,-1.6,8.1,59.5,28402.38
2018-01-23,-8.1,-10.8,-1.6,51.1,28599.48
2018-01-24,-11.9,-14,-8.3,35.4,29566.08
2018-01-25,-12,-14.9,-7.9,42.3,29348.46
2018-01-26,-12.6,-15,-9.2,50,29386.8
2018-01-27,-9,-15.8,-2.4,44.9,27077.22
2018-01-28,-4.3,-6.6,0.3,41.9,21793.86
2018-01-29,-6.8,-8.5,-4,46.6,28562.94
2018-01-30,-4.1,-10.2,1.7,56.5,29259.18
2018-01-31,-0.6,-3.6,2.9,44.5,29472.66
2018-02-01,-2,-6.7,2.9,41.1,30066.12
2018-02-02,-2.3,-7.9,3.8,48.1,29577.06
2018-02-03,-5.4,-8.6,-2.3,53.6,26071.56
2018-02-04,-7.9,-10.3,-4.9,46.8,19335.6
2018-02-05,-8,-11.1,-4.5,43.9,28596.78
2018-02-06,-8.7,-11.6,-5.1,49.4,29608.56
2018-02-07,-7.6,-13.9,-2.1,46.9,28937.7
2018-02-08,-3.8,-10.8,3.3,45.5,29024.1
2018-02-09,0.9,-6.1,7.7,48.9,28796.58
2018-02-10,-0.1,-5.5,5.3,48.5,29801.16
2018-02-11,-5.1,-7.7,-0.8,71.9,28341.36
2018-02-12,-5.9,-10.2,-3,72.4,27847.62
2018-02-13,-1.3,-7.1,3.7,66.4,20025.9
2018-02-14,4.2,-2.2,10.5,60.1,9433.62
2018-02-15,0.2,-2.4,5.4,39.4,8631
2018-02-16,0,-5.4,5.8,45.6,8719.02
2018-02-17,-1.9,-4.4,2,31.6,8914.14
2018-02-18,-0.1,-3.4,3.7,35.4,9105.84
2018-02-19,2.1,-3.5,8.1,48,16805.7
2018-02-20,1.8,-2.6,7,49.6,27319.32
2018-02-21,-0.1,-3.1,4.4,30.5,27278.1
2018-02-22,1.3,-5.2,7.5,47.4,27822.42
2018-02-23,5.2,-0.2,10,67,28225.26
2018-02-24,5.4,1.1,10.9,43.5,25575.66
2018-02-25,3.3,-0.6,9.5,33.1,18831.6
2018-02-26,3.7,-4,11.4,38.1,26787.96
2018-02-27,6.1,-1.6,13.5,41.4,29268.72
2018-02-28,5.3,1.6,9.3,70.3,29577.78
2018-03-01,1.1,-2.7,5.3,62.9,28671.84
2018-03-02,0.7,-5.2,6.9,40.5,23512.14
2018-03-03,8.1,-1.7,17.8,45.9,19756.98
2018-03-04,13.5,8.4,21.5,63.4,16236
2018-03-05,5.6,2,11.4,71.6,27261.18
2018-03-06,5.3,-0.4,11.4,54.1,29901.6
2018-03-07,5.7,2.4,9.6,61.1,30210.48
2018-03-08,2.7,0.2,6.8,84.6,29888.1
2018-03-09,3.8,1.7,7.7,70,28339.38
2018-03-10,4.3,-1,11.2,63.9,22269.42
2018-03-11,7.4,3.1,14.2,52.5,17469.18
2018-03-12,8.9,0.3,17.4,47.9,27013.14
2018-03-13,12.4,3,20.7,57.4,30949.38
2018-03-14,15.9,8,23.4,58.9,31260.24
2018-03-15,12.8,9.1,15.3,91.6,30568.14
2018-03-16,5.7,3.6,9.1,64.5,30101.22
2018-03-17,6.9,-0.4,14.5,49.3,23368.14
2018-03-18,7.5,3.6,11.5,70,17742.24
2018-03-19,7.6,5.4,9.7,86.3,29285.28
2018-03-20,5.9,2.9,10.2,43.1,29999.34
2018-03-21,1.4,-0.6,3.9,80.3,29276.82
2018-03-22,5.3,0.3,11.9,63.3,29488.68
2018-03-23,6.2,0,13.9,58.3,29351.34
2018-03-24,8.7,2.5,16.1,61.6,22604.04
2018-03-25,10.4,3.6,19.5,65.8,17807.94
2018-03-26,11.9,3.7,19.9,65.9,28441.8
2018-03-27,14.2,6.6,21.9,59.9,29252.16
2018-03-28,15.3,9,22.1,56.5,30355.2
2018-03-29,15.9,10.5,21.4,64.9,31081.14
2018-03-30,15.4,11.2,21.4,45.3,31211.64
2018-03-31,16.1,9.8,23.5,49.4,27035.1
2018-04-01,16,10.2,20.7,63.4,18464.22
2018-04-02,18.6,11.8,25.6,62.1,28518.66
2018-04-03,19.3,14,26.1,61.3,32872.14
2018-04-04,12.7,9.7,18.1,79.1,32693.58
2018-04-05,8.5,7.1,9.7,82,31458.78
2018-04-06,7.3,3.2,12.1,69.8,30442.86
2018-04-07,5.2,2.9,9.4,38.9,25048.08
2018-04-08,8.1,1,13.3,50,17384.76
2018-04-09,11.6,5.6,17.7,48.5,27764.46
2018-04-10,16.5,6.6,24.2,49,32109.66
2018-04-11,14.9,10.9,20.1,49.3,31951.26
2018-04-12,13.9,7.3,20.8,34.1,32292.9
2018-04-13,13.9,5.9,19.4,33,30860.64
2018-04-14,8.8,7.1,13.3,81.5,25085.52
2018-04-15,10,6.3,16.2,63.6,18184.68
2018-04-16,11.9,4.8,18.7,54.3,29575.62
2018-04-17,13.7,8.8,20.2,46.8,32335.38
2018-04-18,14,6.7,21.8,39.9,32186.52
2018-04-19,15.8,7,24.2,36.4,32318.28
2018-04-20,19.9,10.8,29.5,43.6,33121.62
2018-04-21,20.2,12.1,29.6,41.3,27724.5
2018-04-22,17.1,12.6,21,55.6,20746.08
2018-04-23,11.4,10.3,17.3,85.5,31889.88
2018-04-24,12.2,9.8,15.6,73.4,32269.86
2018-04-25,14.8,6.9,22.5,38.4,33039.54
2018-04-26,16,9.4,24,47.3,33835.14
2018-04-27,16.2,9.7,23.1,53.5,32419.26
2018-04-28,16.9,10.9,24.6,54,28633.68
2018-04-29,17.2,8.3,26.3,44.5,21148.74
2018-04-30,19.8,12.7,27.1,58.4,33483.06
2018-05-01,20.9,16.7,25.7,68.9,36902.52
2018-05-02,17.2,11.2,23.8,78.6,36028.8
2018-05-03,12.6,9,17.4,54.9,35002.44
2018-05-04,15.3,8.3,22,38.3,33771.96
2018-05-05,19,11.4,26.7,38.1,31141.44
2018-05-06,15.8,14.7,19.8,90.6,23637.96
2018-05-07,18.2,15.1,22.5,75.1,35226
2018-05-08,17.1,13.5,21.3,58.5,35098.56
2018-05-09,16.1,9.7,22.1,53.3,34305.48
2018-05-10,16.5,11.3,23.7,63,36880.2
2018-05-11,17.1,11.3,24.3,57.3,35796.42
2018-05-12,15.7,13.1,17.6,85.1,29009.16
2018-05-13,17.4,15.1,20.4,77.3,23022.54
